Day,Month,Year,Hour,Min,Sec,mode,Time,BBBV,BBBVs,style,cell0,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,Lcl,Rcl,Dcl,Leff,Reff,Deff,Openings,Islands,Path,GZiNi,HZiNi
6,7,2013,18,57,34,BEG,4.04,13,3.21,NF,21,15,15,3,0,0,0,0,0,19,0,0,18,0,0,2,2,488,8,11
6,7,2013,18,57,40,BEG,2.15,6,2.79,NF,26,16,8,2,1,1,0,0,0,7,0,0,6,0,0,1,4,390,6,6
6,7,2013,18,57,50,BEG,4.53,16,3.53,NF,16,21,16,1,0,0,0,0,0,23,0,0,20,0,0,3,5,613,13,14
6,7,2013,18,58,8,BEG,4.86,19,3.90,NF,21,14,15,3,1,0,0,0,0,26,0,0,23,0,0,2,2,640,15,18
6,7,2013,18,58,32,BEG,3.44,10,2.90,NF,23,20,6,3,2,0,0,0,0,14,0,0,13,0,0,2,2,439,8,8
6,7,2013,18,58,59,BEG,3.95,17,4.30,NF,20,22,9,3,0,0,0,0,0,18,0,0,17,0,0,1,2,476,11,14
6,7,2013,18,59,11,BEG,4.84,19,3.92,NF,19,19,9,6,1,0,0,0,0,25,0,0,23,0,0,3,2,576,14,16
6,7,2013,18,59,19,BEG,6.81,22,3.23,NF,10,37,5,2,0,0,0,0,0,32,0,0,28,0,0,3,4,901,16,17
6,7,2013,18,59,48,BEG,4.63,13,2.80,NF,17,21,11,4,1,0,0,0,0,24,0,0,22,0,0,4,3,591,13,13
7,7,2013,13,31,39,BEG,5.93,21,3.54,NF,12,27,13,2,0,0,0,0,0,30,0,0,26,0,0,4,3,704,15,16
7,7,2013,13,31,56,BEG,3.75,12,3.20,NF,18,18,16,2,0,0,0,0,0,16,0,0,14,0,0,3,2,579,12,12
7,7,2013,13,32,1,BEG,3.70,18,4.86,NF,24,15,8,7,0,0,0,0,0,19,0,0,18,0,0,1,1,460,10,13
7,7,2013,13,32,27,BEG,5.31,22,4.14,NF,18,21,9,5,0,1,0,0,0,23,0,0,22,0,0,1,1,636,16,19
7,7,2013,13,32,40,BEG,5.63,15,2.66,NF,16,26,8,4,0,0,0,0,0,25,0,0,22,0,0,3,4,1014,12,12
7,7,2013,13,33,28,BEG,3.32,13,3.91,NF,22,23,7,1,1,0,0,0,0,14,0,0,13,0,0,1,3,502,10,12
7,7,2013,13,33,41,BEG,5.79,18,3.10,NF,15,24,11,3,1,0,0,0,0,31,0,0,27,0,0,4,4,796,14,15
7,7,2013,13,34,7,BEG,4.34,16,3.68,NF,21,18,8,5,2,0,0,0,0,21,0,0,19,0,0,2,3,636,12,14
7,7,2013,13,35,19,BEG,4.58,15,3.27,Flag,21,19,10,3,1,0,0,0,0,14,2,5,11,2,4,3,4,601,13,15
7,7,2013,13,35,48,BEG,4.62,17,3.67,NF,19,18,14,3,0,0,0,0,0,24,0,0,23,0,0,3,4,715,14,15
7,7,2013,13,36,2,BEG,5.55,17,3.06,NF,14,28,8,4,0,0,0,0,0,28,0,0,24,0,0,4,4,823,15,14
7,7,2013,13,36,9,BEG,5.58,20,3.58,NF,14,23,14,3,0,0,0,0,0,28,0,0,26,0,0,3,2,664,15,16
7,7,2013,13,36,21,BEG,4.03,12,2.97,NF,21,17,11,3,1,1,0,0,0,20,0,0,18,0,0,3,4,497,12,12
7,7,2013,13,36,31,BEG,5.35,20,3.73,NF,18,18,16,2,0,0,0,0,0,26,0,0,25,0,0,2,2,673,13,16
7,7,2013,13,37,6,BEG,4.26,14,3.28,NF,24,13,9,7,0,1,0,0,0,19,0,0,17,0,0,2,2,607,14,14
7,7,2013,13,37,22,BEG,4.99,19,3.80,NF,13,29,8,4,0,0,0,0,0,26,0,0,24,0,0,3,2,770,14,15
7,7,2013,13,37,27,BEG,1.77,6,3.38,NF,28,16,5,2,2,1,0,0,0,8,0,0,6,0,0,1,3,216,6,6
7,7,2013,13,37,59,BEG,3.91,15,3.83,NF,24,15,7,7,1,0,0,0,0,16,0,0,15,0,0,1,1,438,11,13
7,7,2013,13,38,7,BEG,3.83,11,2.87,NF,22,10,18,4,0,0,0,0,0,18,0,0,16,0,0,3,3,500,10,11
7,7,2013,13,38,24,BEG,4.65,15,3.22,NF,18,20,11,4,1,0,0,0,0,22,0,0,18,0,0,3,3,665,12,12
7,7,2013,13,39,14,BEG,4.98,15,3.01,NF,16,23,11,3,1,0,0,0,0,23,0,0,22,0,0,3,3,585,13,15
7,7,2013,16,11,53,BEG,4.00,18,4.50,Flag,15,30,9,0,0,0,0,0,0,12,1,5,10,1,5,2,4,591,12,13
7,7,2013,16,13,12,BEG,4.18,15,3.58,Flag,22,21,6,4,1,0,0,0,0,10,2,3,9,2,2,1,2,557,13,13
7,7,2013,16,13,34,BEG,4.50,16,3.55,NF,24,13,8,5,4,0,0,0,0,17,0,0,16,0,0,1,2,558,14,16
7,7,2013,16,13,44,BEG,6.73,21,3.12,Flag,20,15,13,4,1,1,0,0,0,17,4,8,17,4,5,2,2,732,16,19
7,7,2013,16,13,58,BEG,3.40,15,4.41,Flag,22,14,13,4,1,0,0,0,0,12,1,3,11,1,2,1,2,367,10,11
7,7,2013,16,14,2,BEG,2.10,7,3.33,NF,24,17,7,4,2,0,0,0,0,9,0,0,8,0,0,1,3,301,7,7
7,7,2013,16,14,11,BEG,5.42,21,3.87,Flag,18,18,13,4,1,0,0,0,0,22,2,3,21,2,2,3,1,674,15,17
7,7,2013,16,14,20,BEG,5.32,22,4.13,Flag,15,24,10,5,0,0,0,0,0,16,2,4,15,2,4,2,2,668,15,16
7,7,2013,16,14,31,BEG,7.32,29,3.96,Flag,9,36,7,2,0,0,0,0,0,12,7,10,11,7,7,1,3,882,18,20
7,7,2013,16,15,15,BEG,3.90,10,2.56,Flag,18,23,12,0,1,0,0,0,0,17,1,1,13,1,1,3,3,566,9,9
7,7,2013,16,15,28,BEG,3.42,9,2.63,NF,27,13,8,5,1,0,0,0,0,10,0,0,9,0,0,1,2,396,9,9
7,7,2013,16,15,37,BEG,4.17,17,4.07,NF,21,18,10,5,0,0,0,0,0,18,0,0,17,0,0,1,3,537,14,15
7,7,2013,16,15,49,BEG,4.48,13,2.90,NF,20,15,13,6,0,0,0,0,0,21,0,0,19,0,0,3,3,693,11,12
7,7,2013,16,16,11,BEG,3.12,10,3.20,NF,21,22,7,3,1,0,0,0,0,15,0,0,13,0,0,2,3,460,9,10
7,7,2013,16,16,19,BEG,2.87,10,3.48,Flag,20,25,6,2,1,0,0,0,0,8,1,1,7,1,1,1,4,400,10,9
